Item,Subassembly,Component,Order/Drawing,Unit price,Quantity,Total price,Status,Notes
MAX7219 Dot Matrix 4 in 1 Display Module (2 pack),Windshield,Information,Amazon,12.99,1,12.99,Need to order,
,,,,,,,,
Hex socket head cap screw M3x0.50 x 5 Stainless Steel ,Windshield,Standard Parts,,,6,,Have it,
Hex socket head cap screw M2x0.40 x 3 Stainless Steel ,Windshield,Standard Parts,,,8,,Have it,
Hex socket countersunk head screw M3x0.5 x 5 Stainless Steel ,Windshield,Standard Parts,,,8,,Have it,
,,,,,,,,
,,,,,,,,
Cargo Bay Bottom Panel (3DP),Cargo Bay,Structure,,,,,Need to manufacture,Print in PETG
Cargo Bay Base (3DP),Cargo Bay,Structure,,,,,Need to manufacture,Print in PETG
8x4 Gridfinity Baseplate (3DP),Cargo Bay,Structure,,,,,Need to manufacture,Print in PLA
Cargo Bay Cover,Cargo Bay,Structure,,,,,Need to manufacture,Print in clear resin OR PETG depending on if you want a window
Front Cover Plate,Cargo Bay,Structure,,,,,Need to manufacture,Print in PETG
,,,,,,,,
Pogo pins kit,Cargo Bay,Power,Amazon,7.99,4,31.96,Need to order,
,,,,,,,,
Hex socket countersunk head screw M4x0.7 x 10 Stainless Steel ,Cargo Bay,Standard Parts,,,46,,Unprocessed,
Hex socket head cap screw M4x0.70 x 15 Stainless Steel ,Cargo Bay,Standard Parts,,,24,,Unprocessed,
Socket button head screw M3x0.5 x 8 Stainless Steel ,Cargo Bay,Standard Parts,,,24,,Unprocessed,
Hex socket countersunk head screw M3x0.5 x 12 Stainless Steel ,Cargo Bay,Standard Parts,,,12,,Cancelled,
Hex socket countersunk head screw M3x0.5 x 5 Stainless Steel ,Cargo Bay,Standard Parts,,,24,,Unprocessed,
6x2 Round Magnet,Cargo Bay,Standard Parts,,,104,,Unprocessed,
,,,,,,,,
,,,,,,,,
Door Bay Bottom Channe (3DP),Door,Structure,,,1,,Need to manufacture,Print in PETG
Door Bay Top Channel (3DP),Door,Structure,,,1,,Need to manufacture,Print in PLA
Door Bay Cap (3DP),Door,Motion,,,2,,Need to manufacture,Print in PETG
Upper Belt clamp (2PCS 3DP),Door,Motion,,,2,,Need to manufacture,Print in PETG
Lower Belt clamp (2PCS 3DP),Door,Motion,,,2,,Need to manufacture,Print in PETG
SLA3DP Custom Transparent Door Panel,Door,Structure,,,14,,Need to manufacture,Print in clear resin
3DP Door Endstop Magnetic Latch,Door,Structure,,,2,,Need to manufacture,Print in PLA
3mm OD 30mm L Steel Shaft (2PCS Cut to length),Door,Structure,,,2,,Need to manufacture,Cut to length
2mm OD 150mm L Aluminum Shaft (Cut to length),Door,Structure,,,16,,Need to manufacture,Cut to length
,,,,,,,,
10pcs Set Screw Collars 3.05mm,Door,Belt clamp,Amazon,6.79,1,6.79,Need to order,
20 Teeth 3mm Bore Timing Pulley 2 pack,Door,Pulley,Amazon,6.69,2,13.38,Need to order,
Flanged Ball Bearing 3mmx6mmx2.5mm 10pcs,Door,Bearing,Amazon,11.89,1,11.89,Need to order,
2mm Pitch GT2 Timing Belt 188 Tooth,Door,Belt,Servocity,6.59,2,13.18,Need to order,
2pcs GA12-N20 N20 (12V 500RPM) Gear Reducer Motor,Door,Motor,Amazon,9.99,2,19.98,Need to order,
,,,,,,,,
Hex socket head cap screw M2x0.40 x 5 Stainless Steel ,Door,Standard Parts,,,4,,Unprocessed,
Hex nut grade A & B M2x0.4 Stainless Steel ,Door,Standard Parts,,,4,,Unprocessed,
Hex socket head cap screw M3x0.50 x 10 Stainless Steel ,Door,Standard Parts,,,28,,Unprocessed,
Hex socket head cap screw M1.6x0.35 x 3 Stainless Steel ,Door,Standard Parts,,,4,,Unprocessed,
Hex socket countersunk head screw M3x0.5 x 5 Stainless Steel ,Door,Standard Parts,,,12,,Unprocessed,
6x2 Round Magnet,Door,Standard Parts,,,6,,Unprocessed,
,,,,,,,,
,,,,,,,,
Wheel interface pad,Rails,Structure,,,2 Per 200mm,,Need to manufacture,Print in TPU or use panels
Rail Bracket,Rails,Structure,,,1 Per 200mm,,Need to manufacture,Print in PA/PC
,,,,,,,,
Peg Contact Rail,Rails,Structure,,,1 Per 800mm,,Need to order,Bent metal is best but high strength plastic works
NFC Tags,Rails,Navigation,Amazon,12.34,"4 per intersection, 1 per station",,Need to order,
,,,,,,,,
Rail Intersection,Rails,Intersection,,,,,Need to order,"No good known way to manufacture atm, DFM in progress"
,,,,,,,,
Hex socket countersunk head screw M3x0.5 x 12 Stainless Steel ,Rails,Standard Parts,,,6 per 200mm,,Need to order,
,,,,,,,,
,,,,,,,,
Loctite 243 Blue Medium Strength Threadlocker,Raw Material,Raw Material,Amazon,15.81,1,15.81,Need to order,
5mm x 200mm 304 Stainless Steel Round Rod 5PCS,Raw Material,Raw Material,Amazon,6.99,1,6.99,Need to order,
3mm x 150mm 304 Stainless Steel Round Rod 5PCS,Raw Material,Raw Material,Amazon,5.99,1,5.99,Need to order,
2mm x 300mm 304 Stainless Steel Round Rod 5PCS,Raw Material,Raw Material,Amazon,5.99,2,11.98,Need to order,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
TOTAL,,,,,,466.67,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
https://www.amazon.com/QIYANGBRO-Momentary-Button-Assorted-Self-Resetting/dp/B0DP4BJSPJ/ref=sr_1_1_sspa?crid=2ATCZBVJW20EZ&dib=eyJ2IjoiMSJ9.U9olZ3GMfMq0r2Ub5cKo3eEavXqJSFS-WMXqUXNFn4Wns_q1zOiy5phGL3tuIR1pbuzf4PztnYzWW62J6otuS6D66Pe326DLa1sWhf2JlNGFEul__sJMWiJdutP20ngVUfQPWwTdUO6YdY0FVjyEol5AULp_VJF-Dx4Xi36FFgs7vO0p_Ha37jjcnc8Vh9AYXbp27fP9ubrG5no5FHIK5QG9veEt8Ns2QXcQ5bm245xhiCBxM1H_ZRC_W2ob-Hxkw0aQin1x7mj4C2v0y5VMxluwzcrK1Z2JoyadPsjVH7E.BiR4LNEzpnXpEYBt-pzLz-gus9HqmlJFRvmANrZvMeQ&dib_tag=se&keywords=low+profile+push+button&qid=1781338299&s=industrial&sprefix=low+profile+push+button%2Cindustrial%2C206&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,,,,,,,,
https://www.amazon.com/4PcsThin-Pressure-Sensitivity-Industrial-Measurement/dp/B0FGD267GK/ref=sr_1_3?crid=IZG8ZI8FKZ70&dib=eyJ2IjoiMSJ9.MmW3hJ_4MDq2IYstTZhhXkJo_OhvyZzzOK6pvjT7AoDeNwbcu1kQ1pi7yStwa4OOVlK6nsYmjsn4-uCHiXlMSuiUTlKVO3luMTZLn59LZLHERw5kc01foQU_cd9vYlKpsqtWkCfaK7jgB_iIZnjo6ZlhTx3PyhpI4V7tcVzO_eIm9-Wcl36w6tWgjPnbmULon6Oka0WLiz6EVAFsuZEy9mVian6CJO-6rwt3F9yOdZE.qqpKeN9HXKICoCbdIQlF67iWmh6XuUzZ-RrABMdBhW4&dib_tag=se&keywords=pressure%2Bsensor&qid=1781338124&sprefix=pressure%2Bsens%2Caps%2C260&sr=8-3&th=1,,,,,,,,
https://www.aliexpress.com/item/1005009383641508.html?src=google&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256809197326756&ds_e_product_merchant_id=5577191021&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19108282527&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19108284222&gbraid=0AAAAAD6I-hFMSbmQ8cBHocwjBQlkqV7gY&gclid=CjwKCAjw5NvPBhAoEiwA_2egfusg_kJCDuogRxcewQEWcUaf4vyvo0M4438X-PpJfBG40Am6NfAh8RoCjjUQAvD_BwE&gatewayAdapt=4itemAdapt,,,,,,,,
